ticket_id,customer_id,created_at,ticket_category,priority,resolved_at,ticket_metadata
1,1,2026-03-22,workflow_setup,medium,2026-03-27 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
2,1,2026-03-24,credits,medium,2026-03-25 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
3,1,2026-04-02,billing,high,2026-04-08 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
4,1,2026-03-27,workflow_setup,high,,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""The workflow failed and I do not know what to fix."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
5,18,2026-04-12,workflow_setup,high,2026-04-17 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
6,18,2026-05-12,onboarding,low,2026-05-15 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""This is working well but I want to improve deliverability."", ""customer_sentiment"": ""happy"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
7,24,2026-05-04,billing,medium,2026-05-10 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
8,25,2026-03-06,billing,high,2026-03-10 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I am not sure why this workflow consumed so many credits."", ""customer_sentiment"": ""confused"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
9,27,2026-01-11,billing,low,2026-01-18 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""I need help setting up Apollo and Claygent together."", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
10,27,2026-02-03,billing,low,2026-02-05 00:00:00,"{""source"": ""synthetic_support_export"", ""raw_ticket_text"": ""Can someone explain how actions are different from data credits?"", ""customer_sentiment"": ""frustrated"", ""sentiment_note"": ""In a real environment, this sentiment would be derived from support text using sentiment analysis or LLM classification.""}"
